id,title,phase,description,acceptance_criteria,dependency_stories,status,complexity_points
P1-001,Define DomainEvent and Command base interfaces,Phase 1,"Create the DomainEvent interface with eventId, occurredAt, aggregateId, eventType methods and the Command interface with commandId method in the domain layer packages com.payme.domain.event and com.payme.domain.command.","1. DomainEvent interface exists at com.payme.domain.event.DomainEvent with methods: eventId(), occurredAt(), aggregateId(), eventType(). 2. Command interface exists at com.payme.domain.command.Command with method: commandId(). 3. Both compile without errors. 4. Unit tests verify interface contracts.",none,todo,2
P1-002,Create Invoice domain event records,Phase 1,"Implement Java record classes for all invoice aggregate events: InvoiceCreated, InvoiceExpired, InvoiceMarkedPending, InvoicePaymentSucceeded, InvoicePaymentFailed. Each implements DomainEvent and carries the fields specified in the events catalog.","1. InvoiceCreated record has fields: eventId, occurredAt, invoiceId, merchantId, amount, currency, description, expiresAt. 2. InvoiceExpired record has fields: eventId, occurredAt, invoiceId, expiredAt. 3. InvoiceMarkedPending record has fields: eventId, occurredAt, invoiceId, paymentAttemptId. 4. InvoicePaymentSucceeded record has fields: eventId, occurredAt, invoiceId, paymentAttemptId, provider. 5. InvoicePaymentFailed record has fields: eventId, occurredAt, invoiceId, paymentAttemptId, provider, reason. 6. All implement DomainEvent interface correctly. 7. Unit tests verify serialization round-trip.",P1-001,todo,3
P1-003,Create PaymentAttempt domain event records,Phase 1,"Implement Java record classes for payment attempt events: PaymentAttemptCreated, PaymentAttemptSucceeded, PaymentAttemptFailed. Each implements DomainEvent.","1. PaymentAttemptCreated record has fields: eventId, occurredAt, attemptId, invoiceId, provider, providerReference. 2. PaymentAttemptSucceeded record has fields: eventId, occurredAt, attemptId, providerEventId. 3. PaymentAttemptFailed record has fields: eventId, occurredAt, attemptId, providerEventId, reason. 4. All implement DomainEvent interface. 5. Unit tests verify serialization round-trip.",P1-001,todo,2
P1-004,Create Webhook domain event records,Phase 1,"Implement Java record classes for webhook lifecycle events: WebhookReceived, WebhookProcessed, WebhookDuplicated, WebhookFailed. Each implements DomainEvent.","1. WebhookReceived record has fields: eventId, occurredAt, webhookId, provider, payloadHash, rawPayload. 2. WebhookProcessed record has fields: eventId, occurredAt, webhookId, correlatedAttemptId. 3. WebhookDuplicated record has fields: eventId, occurredAt, webhookId, originalWebhookId. 4. WebhookFailed record has fields: eventId, occurredAt, webhookId, error. 5. All implement DomainEvent interface. 6. Unit tests verify serialization round-trip.",P1-001,todo,2
P1-005,Create all Command records,Phase 1,"Implement Java record classes for all commands: CreateInvoiceCommand, StartCheckoutCommand, ProcessWebhookCommand, ExpireInvoiceCommand, UpdatePaymentStatusCommand. Each implements Command interface.","1. CreateInvoiceCommand has fields: commandId, merchantId, amount, currency, description, expiryHours. 2. StartCheckoutCommand has fields: commandId, invoiceId. 3. ProcessWebhookCommand has fields: commandId, provider, rawBody, headers. 4. ExpireInvoiceCommand has fields: commandId, invoiceId. 5. UpdatePaymentStatusCommand has fields: commandId, attemptId, status, providerEventId. 6. All implement Command interface. 7. Unit tests pass.",P1-001,todo,3
P1-006,Create EventPublisher port and SpringEventPublisher adapter,Phase 1,"Define the EventPublisher port interface in com.payme.ports with publish() and publishAll() methods. Implement SpringEventPublisher adapter in com.payme.adapters.messaging that delegates to Spring ApplicationEventPublisher.","1. EventPublisher interface exists at com.payme.ports.EventPublisher with methods: publish(DomainEvent), publishAll(List<DomainEvent>). 2. SpringEventPublisher implements EventPublisher and delegates to ApplicationEventPublisher. 3. SpringEventPublisher is annotated with @Component. 4. Integration test confirms events are dispatched through Spring context.",P1-001,todo,3
P1-007,Create domain_events table and JPA entity,Phase 1,"Create the domain_events database table with columns: event_id, event_type, aggregate_id, aggregate_type, occurred_at, payload (JSONB), published (boolean). Create corresponding DomainEventEntity JPA entity and JpaDomainEventRepository with a findUnpublished query method.","1. DomainEventEntity JPA entity maps to domain_events table. 2. JpaDomainEventRepository extends JpaRepository with findByPublishedFalseOrderByOccurredAtAsc(Pageable) method. 3. DomainEventEntity has toJson/fromJson methods for payload serialization. 4. Table is created by Hibernate DDL auto-update. 5. Integration test: save and retrieve a domain event entity.",P1-001,todo,5
P1-008,Refactor CreateInvoiceUseCase to CreateInvoiceCommandHandler,Phase 1,"Transform CreateInvoiceUseCase into CreateInvoiceCommandHandler that accepts a CreateInvoiceCommand, performs the same business logic, persists the event to the event store, and publishes an InvoiceCreated event via EventPublisher.","1. CreateInvoiceCommandHandler exists with handle(CreateInvoiceCommand) method. 2. Same business logic as original CreateInvoiceUseCase preserved. 3. InvoiceCreated event is persisted to domain_events table within the same transaction. 4. InvoiceCreated event is published via EventPublisher. 5. Original CreateInvoiceUseCase can be deprecated or removed. 6. Existing tests adapted and passing.","P1-002;P1-005;P1-006;P1-007",todo,5
P1-009,Refactor StartCheckoutUseCase to StartCheckoutCommandHandler,Phase 1,"Transform StartCheckoutUseCase into StartCheckoutCommandHandler that accepts a StartCheckoutCommand, performs checkout logic, and publishes PaymentAttemptCreated and InvoiceMarkedPending events.","1. StartCheckoutCommandHandler exists with handle(StartCheckoutCommand) method. 2. Same business logic as original StartCheckoutUseCase preserved (validate payable, create attempt, call provider, mark pending). 3. PaymentAttemptCreated and InvoiceMarkedPending events persisted and published. 4. Returns CheckoutResult as before. 5. Existing tests adapted and passing.","P1-003;P1-005;P1-006;P1-007",todo,5
P1-010,Refactor ProcessWebhookUseCase to ProcessWebhookCommandHandler,Phase 1,"Transform ProcessWebhookUseCase into ProcessWebhookCommandHandler that accepts a ProcessWebhookCommand, performs webhook verification and processing, and publishes appropriate webhook and payment events.","1. ProcessWebhookCommandHandler exists with handle(ProcessWebhookCommand) method. 2. Same business logic preserved: hash payload, verify signature, check duplicate, store webhook, update attempt and invoice. 3. Publishes WebhookReceived followed by WebhookProcessed/WebhookFailed/WebhookDuplicated. 4. Publishes PaymentAttemptSucceeded/Failed and InvoicePaymentSucceeded/Failed when applicable. 5. Idempotency preserved. 6. Existing tests adapted and passing.","P1-004;P1-005;P1-006;P1-007",todo,8
